State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
WV,Wayne County,Medium metro,21,305
WV,Wetzel County,Noncore,10,153
WV,Wood County,Small metro,130,1237
WY,Albany County,Micropolitan,10,237
WY,Big Horn County,Noncore,18,124
WY,Campbell County,Micropolitan,38,332
WY,Converse County,Noncore,15,125
WY,Fremont County,Micropolitan,46,474
WY,Goshen County,Noncore,16,154
WY,Laramie County,Small metro,102,1086
WY,Natrona County,Small metro,164,1172
WY,Park County,Noncore,19,342
WY,Sheridan County,Micropolitan,22,345
WY,Sweetwater County,Micropolitan,29,384
WY,Washakie County,Noncore,20,99
