State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
IA,Hardin County,Noncore,20,189
IA,Harrison County,Medium metro,53,232
IA,Henry County,Noncore,28,229
IA,Howard County,Noncore,19,119
IA,Humboldt County,Noncore,19,89
IA,Ida County,Noncore,30,119
IA,Iowa County,Noncore,12,176
IA,Jackson County,Noncore,23,225
IA,Jasper County,Micropolitan,36,340
IA,Jefferson County,Micropolitan,20,193
IA,Johnson County,Small metro,259,2211
IA,Jones County,Medium metro,29,184
IA,Keokuk County,Noncore,16,107
IA,Kossuth County,Noncore,44,182
IA,Lee County,Micropolitan,32,426
IA,Linn County,Medium metro,363,2533
IA,Louisa County,Noncore,21,83
IA,Lucas County,Noncore,10,109
IA,Lyon County,Noncore,23,83
IA,Madison County,Medium metro,10,116
IA,Mahaska County,Micropolitan,45,271
IA,Marion County,Noncore,50,350
IA,Marshall County,Micropolitan,48,533
IA,Mitchell County,Noncore,38,162
IA,Monona County,Noncore,19,180
IA,Monroe County,Noncore,23,115
IA,Montgomery County,Noncore,31,189
IA,Muscatine County,Micropolitan,60,406
IA,O'Brien County,Noncore,47,225
IA,Palo Alto County,Noncore,16,143
IA,Plymouth County,Small metro,45,266
IA,Pocahontas County,Noncore,15,91
IA,Polk County,Medium metro,809,6145
IA,Pottawattamie County,Medium metro,150,1195
IA,Poweshiek County,Noncore,26,236
IA,Ringgold County,Noncore,13,110
IA,Sac County,Noncore,11,131
IA,Scott County,Medium metro,242,2247
IA,Shelby County,Noncore,28,175
IA,Sioux County,Noncore,46,279
IA,Story County,Small metro,84,731
IA,Tama County,Noncore,37,149
IA,Union County,Noncore,17,181
IA,Van Buren County,Noncore,12,76
IA,Wapello County,Micropolitan,71,433
IA,Warren County,Medium metro,45,402
IA,Washington County,Small metro,39,275
IA,Wayne County,Noncore,18,96
IA,Webster County,Micropolitan,105,674
IA,Winnebago County,Noncore,17,103
IA,Winneshiek County,Noncore,25,180
IA,Woodbury County,Small metro,342,1632
IA,Wright County,Noncore,16,156
ID,Ada County,Medium metro,584,4847
ID,Bannock County,Small metro,102,971
ID,Bingham County,Micropolitan,29,401
ID,Bonner County,Micropolitan,17,417
ID,Bonneville County,Small metro,198,1464
ID,Canyon County,Medium metro,216,1856
ID,Gem County,Medium metro,11,230
ID,Gooding County,Noncore,10,164
ID,Idaho County,Noncore,12,167
ID,Kootenai County,Small metro,178,2097
ID,Madison County,Micropolitan,18,222
ID,Minidoka County,Micropolitan,17,173
ID,Nez Perce County,Small metro,46,630
ID,Owyhee County,Medium metro,12,110
ID,Shoshone County,Noncore,18,130
ID,Twin Falls County,Micropolitan,176,1165
ID,Washington County,Noncore,11,152
IL,Adams County,Micropolitan,189,1268
IL,Bond County,Large fringe metro,15,158
IL,Boone County,Medium metro,37,402
IL,Bureau County,Micropolitan,71,493
IL,Carroll County,Noncore,12,143
IL,Cass County,Noncore,20,97
IL,Champaign County,Small metro,212,2198
IL,Christian County,Micropolitan,41,401
IL,Clark County,Noncore,21,177
IL,Clay County,Noncore,23,151
IL,Clinton County,Large fringe metro,19,364
IL,Coles County,Micropolitan,95,727
IL,Cook County,Large central metro,9029,57052
IL,Crawford County,Noncore,26,183
IL,Cumberland County,Micropolitan,13,91
IL,DeKalb County,Large fringe metro,104,979
IL,De Witt County,Small metro,17,162
IL,DuPage County,Large fringe metro,1075,9051
IL,Edgar County,Noncore,41,257
IL,Effingham County,Micropolitan,59,458
IL,Fayette County,Noncore,31,229
IL,Ford County,Small metro,30,261
IL,Franklin County,Noncore,32,408
IL,Fulton County,Micropolitan,34,525
IL,Greene County,Noncore,29,124
IL,Grundy County,Large fringe metro,70,557
IL,Hamilton County,Noncore,14,129
IL,Hancock County,Micropolitan,25,216
IL,Henderson County,Micropolitan,11,66
IL,Henry County,Medium metro,47,543
IL,Iroquois County,Noncore,23,353
IL,Jackson County,Small metro,113,751
IL,Jefferson County,Micropolitan,115,717
IL,Jersey County,Large fringe metro,42,332
IL,Jo Daviess County,Noncore,12,211
IL,Kane County,Large fringe metro,656,4532
IL,Kankakee County,Small metro,168,1558
IL,Kendall County,Large fringe metro,13,448
IL,Knox County,Micropolitan,139,851
IL,Lake County,Large fringe metro,764,6766
IL,LaSalle County,Micropolitan,173,1293
IL,Lawrence County,Noncore,13,140
IL,Lee County,Micropolitan,77,425
IL,Livingston County,Micropolitan,57,492
IL,Logan County,Micropolitan,33,385
IL,McDonough County,Micropolitan,44,330
IL,McHenry County,Large fringe metro,193,2079
IL,McLean County,Small metro,204,1677
IL,Macon County,Small metro,169,1570
IL,Macoupin County,Large fringe metro,57,552
IL,Madison County,Large fringe metro,368,3326
IL,Marion County,Micropolitan,71,603
IL,Mason County,Noncore,21,157
IL,Massac County,Micropolitan,30,218
IL,Menard County,Small metro,11,92
IL,Mercer County,Medium metro,13,178
IL,Monroe County,Large fringe metro,24,245
IL,Montgomery County,Noncore,50,358
IL,Morgan County,Micropolitan,81,497
IL,Ogle County,Micropolitan,29,567
IL,Peoria County,Medium metro,526,3780
IL,Perry County,Noncore,39,242
IL,Piatt County,Small metro,12,186
